Segment,Number of Speakers,Number of Speeches,Number of Speeches per Speaker
IS1007a_0750_0760,3,6,"[3, 2, 1, 0, 0]"
IS1007a_0760_0770,3,6,"[2, 2, 2, 0, 0]"
IS1007a_0770_0780,3,5,"[2, 2, 1, 0, 0]"
IS1007a_0780_0790,2,4,"[2, 2, 0, 0, 0]"
IS1007a_0790_0800,3,4,"[2, 1, 1, 0, 0]"
IS1007a_0800_0810,1,1,"[1, 0, 0, 0, 0]"
IS1007a_0810_0820,1,1,"[1, 0, 0, 0, 0]"
IS1007a_0820_0830,2,7,"[4, 3, 0, 0, 0]"
IS1007a_0830_0840,1,1,"[1, 0, 0, 0, 0]"
IS1007a_0840_0850,2,2,"[1, 1, 0, 0, 0]"
IS1007a_0850_0860,2,2,"[1, 1, 0, 0, 0]"
IS1007a_0860_0870,2,2,"[1, 1, 0, 0, 0]"
IS1007a_0870_0880,2,8,"[4, 4, 0, 0, 0]"
IS1007a_0880_0890,2,8,"[4, 4, 0, 0, 0]"
IS1007a_0890_0900,1,1,"[1, 0, 0, 0, 0]"
IS1007a_0900_0910,3,4,"[2, 1, 1, 0, 0]"
IS1007a_0910_0920,2,5,"[3, 2, 0, 0, 0]"
IS1007b_0030_0040,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0040_0050,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0050_0060,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0060_0070,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0070_0080,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0080_0090,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0090_0100,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0100_0110,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0110_0120,2,5,"[3, 2, 0, 0, 0]"
IS1007b_0120_0130,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0130_0140,3,6,"[3, 2, 1, 0, 0]"
IS1007b_0140_0150,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0150_0160,3,6,"[3, 2, 1, 0, 0]"
IS1007b_0160_0170,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0170_0180,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0180_0190,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0190_0200,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0200_0210,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0210_0220,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0220_0230,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0230_0240,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0240_0250,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0250_0260,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0260_0270,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0270_0280,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0280_0290,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0290_0300,4,9,"[4, 2, 2, 1, 0]"
IS1007b_0300_0310,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0310_0320,2,9,"[5, 4, 0, 0, 0]"
IS1007b_0320_0330,2,5,"[3, 2, 0, 0, 0]"
IS1007b_0330_0340,3,5,"[2, 2, 1, 0, 0]"
IS1007b_0340_0350,2,5,"[3, 2, 0, 0, 0]"
IS1007b_0350_0360,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0360_0370,3,7,"[4, 2, 1, 0, 0]"
IS1007b_0370_0380,3,6,"[3, 3, 0, 0, 0]"
IS1007b_0380_0390,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0390_0400,2,5,"[3, 2, 0, 0, 0]"
IS1007b_0400_0410,3,4,"[2, 1, 1, 0, 0]"
IS1007b_0410_0420,3,3,"[1, 1, 1, 0, 0]"
IS1007b_0420_0430,4,12,"[5, 4, 2, 1, 0]"
IS1007b_0430_0440,3,9,"[4, 3, 2, 0, 0]"
IS1007b_0440_0450,2,6,"[3, 3, 0, 0, 0]"
IS1007b_0460_0470,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0470_0480,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0480_0490,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0490_0500,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0500_0510,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0510_0520,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0520_0530,2,6,"[3, 3, 0, 0, 0]"
IS1007b_0530_0540,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0540_0550,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0550_0560,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0560_0570,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0570_0580,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0580_0590,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0590_0600,2,5,"[3, 2, 0, 0, 0]"
IS1007b_0600_0610,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0610_0620,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0620_0630,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0630_0640,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0640_0650,2,5,"[3, 2, 0, 0, 0]"
IS1007b_0650_0660,2,13,"[7, 6, 0, 0, 0]"
IS1007b_0660_0670,4,13,"[5, 4, 2, 2, 0]"
IS1007b_0670_0680,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0680_0690,4,5,"[2, 1, 1, 1, 0]"
IS1007b_0690_0700,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0700_0710,3,8,"[4, 3, 1, 0, 0]"
IS1007b_0710_0720,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0720_0730,3,8,"[4, 2, 2, 0, 0]"
IS1007b_0730_0740,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0740_0750,2,8,"[4, 4, 0, 0, 0]"
IS1007b_0750_0760,4,6,"[3, 1, 1, 1, 0]"
IS1007b_0760_0770,3,6,"[3, 2, 1, 0, 0]"
IS1007b_0770_0780,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0780_0790,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0790_0800,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0800_0810,3,4,"[2, 2, 0, 0, 0]"
IS1007b_0810_0820,2,10,"[5, 5, 0, 0, 0]"
IS1007b_0820_0830,2,5,"[3, 2, 0, 0, 0]"
IS1007b_0830_0840,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0840_0850,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0850_0860,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0860_0870,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0870_0880,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0880_0890,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0890_0900,2,6,"[3, 3, 0, 0, 0]"
IS1007b_0900_0910,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0910_0920,3,5,"[2, 2, 1, 0, 0]"
IS1007b_0920_0930,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0930_0940,1,1,"[1, 0, 0, 0, 0]"
IS1007b_0940_0950,3,4,"[2, 1, 1, 0, 0]"
IS1007b_0950_0960,2,2,"[1, 1, 0, 0, 0]"
IS1007b_0960_0970,3,11,"[5, 5, 1, 0, 0]"
IS1007b_0970_0980,4,7,"[2, 2, 2, 1, 0]"
IS1007b_0980_0990,2,3,"[2, 1, 0, 0, 0]"
IS1007b_0990_1000,1,1,"[1, 0, 0, 0, 0]"
IS1007b_1000_1010,2,6,"[3, 3, 0, 0, 0]"
IS1007b_1010_1020,2,3,"[2, 1, 0, 0, 0]"
IS1007b_1020_1030,2,2,"[1, 1, 0, 0, 0]"
IS1007b_1030_1040,2,14,"[7, 7, 0, 0, 0]"
IS1007b_1040_1050,2,4,"[2, 2, 0, 0, 0]"
IS1007b_1050_1060,3,6,"[3, 2, 1, 0, 0]"
IS1007b_1060_1070,2,2,"[1, 1, 0, 0, 0]"
IS1007b_1070_1080,3,8,"[4, 3, 1, 0, 0]"
IS1007b_1080_1090,1,1,"[1, 0, 0, 0, 0]"
IS1007b_1090_1100,1,1,"[1, 0, 0, 0, 0]"
IS1007b_1100_1110,1,1,"[1, 0, 0, 0, 0]"
IS1007b_1110_1120,2,7,"[4, 3, 0, 0, 0]"
IS1007b_1120_1130,2,3,"[2, 1, 0, 0, 0]"
IS1007b_1130_1140,2,5,"[3, 2, 0, 0, 0]"
IS1007b_1140_1150,1,1,"[1, 0, 0, 0, 0]"
IS1007b_1150_1160,2,3,"[2, 1, 0, 0, 0]"
IS1007b_1160_1170,2,9,"[5, 4, 0, 0, 0]"
IS1007b_1170_1180,2,4,"[2, 2, 0, 0, 0]"
IS1007b_1180_1190,2,2,"[1, 1, 0, 0, 0]"
IS1007b_1190_1200,3,10,"[5, 3, 2, 0, 0]"
IS1007b_1200_1210,1,1,"[1, 0, 0, 0, 0]"
IS1007b_1210_1220,2,5,"[3, 2, 0, 0, 0]"
IS1007b_1220_1230,4,5,"[2, 1, 1, 1, 0]"
IS1007b_1230_1240,3,10,"[5, 4, 1, 0, 0]"
IS1007b_1240_1250,1,1,"[1, 0, 0, 0, 0]"
IS1007b_1250_1260,2,4,"[2, 2, 0, 0, 0]"
IS1007b_1260_1270,4,10,"[3, 3, 2, 2, 0]"
IS1007c_0050_0060,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0060_0070,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0070_0080,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0080_0090,2,9,"[5, 4, 0, 0, 0]"
IS1007c_0090_0100,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0100_0110,2,3,"[2, 1, 0, 0, 0]"
IS1007c_0110_0120,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0120_0130,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0130_0140,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0140_0150,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0150_0160,2,3,"[2, 1, 0, 0, 0]"
IS1007c_0160_0170,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0170_0180,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0180_0190,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0190_0200,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0200_0210,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0210_0220,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0220_0230,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0230_0240,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0240_0250,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0250_0260,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0260_0270,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0270_0280,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0280_0290,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0290_0300,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0300_0310,2,2,"[1, 1, 0, 0, 0]"
IS1007c_0310_0320,2,8,"[4, 4, 0, 0, 0]"
IS1007c_0320_0330,2,7,"[4, 3, 0, 0, 0]"
IS1007c_0330_0340,2,5,"[3, 2, 0, 0, 0]"
IS1007c_0340_0350,2,5,"[3, 2, 0, 0, 0]"
IS1007c_0350_0360,2,5,"[3, 2, 0, 0, 0]"
IS1007c_0360_0370,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0370_0380,2,2,"[1, 1, 0, 0, 0]"
IS1007c_0380_0390,2,4,"[2, 2, 0, 0, 0]"
IS1007c_0390_0400,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0400_0410,2,2,"[1, 1, 0, 0, 0]"
IS1007c_0430_0440,2,2,"[1, 1, 0, 0, 0]"
IS1007c_0440_0450,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0450_0460,2,5,"[3, 2, 0, 0, 0]"
IS1007c_0460_0470,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0470_0480,2,2,"[1, 1, 0, 0, 0]"
IS1007c_0480_0490,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0490_0500,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0500_0510,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0510_0520,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0520_0530,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0530_0540,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0540_0550,2,2,"[1, 1, 0, 0, 0]"
IS1007c_0550_0560,2,2,"[1, 1, 0, 0, 0]"
IS1007c_0560_0570,2,5,"[3, 2, 0, 0, 0]"
IS1007c_0570_0580,2,2,"[1, 1, 0, 0, 0]"
IS1007c_0580_0590,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0590_0600,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0600_0610,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0610_0620,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0620_0630,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0630_0640,2,3,"[2, 1, 0, 0, 0]"
IS1007c_0640_0650,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0650_0660,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0660_0670,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0670_0680,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0680_0690,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0690_0700,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0700_0710,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0710_0720,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0720_0730,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0730_0740,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0740_0750,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0750_0760,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0760_0770,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0770_0780,2,3,"[2, 1, 0, 0, 0]"
IS1007c_0780_0790,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0790_0800,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0800_0810,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0810_0820,3,3,"[1, 1, 1, 0, 0]"
IS1007c_0820_0830,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0830_0840,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0840_0850,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0850_0860,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0860_0870,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0870_0880,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0880_0890,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0890_0900,2,2,"[1, 1, 0, 0, 0]"
IS1007c_0900_0910,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0910_0920,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0920_0930,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0930_0940,3,3,"[1, 1, 1, 0, 0]"
IS1007c_0940_0950,1,1,"[1, 0, 0, 0, 0]"
IS1007c_0950_0960,3,24,"[10, 8, 6, 0, 0]"
IS1007c_0960_0970,4,11,"[4, 3, 2, 2, 0]"
IS1007c_0970_0980,2,9,"[5, 4, 0, 0, 0]"
IS1007c_0980_0990,3,11,"[5, 4, 2, 0, 0]"
IS1007c_0990_1000,2,8,"[4, 4, 0, 0, 0]"
IS1007c_1000_1010,3,6,"[3, 2, 1, 0, 0]"
IS1007c_1010_1020,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1020_1030,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1030_1040,2,2,"[1, 1, 0, 0, 0]"
IS1007c_1040_1050,4,19,"[6, 6, 4, 3, 0]"
IS1007c_1070_1080,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1080_1090,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1090_1100,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1100_1110,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1110_1120,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1120_1130,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1130_1140,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1140_1150,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1150_1160,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1160_1170,2,5,"[3, 2, 0, 0, 0]"
IS1007c_1170_1180,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1180_1190,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1190_1200,3,3,"[1, 1, 1, 0, 0]"
IS1007c_1200_1210,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1210_1220,2,6,"[3, 3, 0, 0, 0]"
IS1007c_1220_1230,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1230_1240,4,5,"[2, 1, 1, 1, 0]"
IS1007c_1240_1250,2,10,"[5, 5, 0, 0, 0]"
IS1007c_1250_1260,2,2,"[1, 1, 0, 0, 0]"
IS1007c_1260_1270,2,6,"[3, 3, 0, 0, 0]"
IS1007c_1270_1280,3,9,"[4, 3, 2, 0, 0]"
IS1007c_1280_1290,3,4,"[2, 1, 1, 0, 0]"
IS1007c_1290_1300,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1300_1310,3,5,"[2, 2, 1, 0, 0]"
IS1007c_1310_1320,4,11,"[4, 3, 3, 1, 0]"
IS1007c_1320_1330,4,12,"[4, 3, 3, 2, 0]"
IS1007c_1330_1340,3,6,"[2, 2, 2, 0, 0]"
IS1007c_1340_1350,2,6,"[3, 3, 0, 0, 0]"
IS1007c_1350_1360,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1360_1370,3,4,"[2, 1, 1, 0, 0]"
IS1007c_1370_1380,3,7,"[3, 2, 2, 0, 0]"
IS1007c_1380_1390,3,5,"[2, 2, 1, 0, 0]"
IS1007c_1390_1400,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1400_1410,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1410_1420,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1420_1430,2,2,"[1, 1, 0, 0, 0]"
IS1007c_1430_1440,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1440_1450,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1450_1460,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1460_1470,3,6,"[3, 2, 1, 0, 0]"
IS1007c_1470_1480,3,6,"[3, 2, 1, 0, 0]"
IS1007c_1480_1490,3,5,"[2, 2, 1, 0, 0]"
IS1007c_1490_1500,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1500_1510,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1510_1520,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1520_1530,2,2,"[1, 1, 0, 0, 0]"
IS1007c_1530_1540,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1540_1550,3,3,"[2, 1, 0, 0, 0]"
IS1007c_1550_1560,3,9,"[4, 3, 2, 0, 0]"
IS1007c_1560_1570,3,8,"[4, 3, 1, 0, 0]"
IS1007c_1570_1580,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1580_1590,3,16,"[8, 5, 3, 0, 0]"
IS1007c_1590_1600,4,17,"[7, 6, 3, 1, 0]"
IS1007c_1600_1610,3,3,"[1, 1, 1, 0, 0]"
IS1007c_1610_1620,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1620_1630,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1630_1640,3,3,"[1, 1, 1, 0, 0]"
IS1007c_1640_1650,2,2,"[1, 1, 0, 0, 0]"
IS1007c_1650_1660,2,5,"[3, 2, 0, 0, 0]"
IS1007c_1660_1670,3,11,"[5, 4, 2, 0, 0]"
IS1007c_1670_1680,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1680_1690,2,2,"[1, 1, 0, 0, 0]"
IS1007c_1690_1700,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1700_1710,3,5,"[2, 2, 1, 0, 0]"
IS1007c_1710_1720,2,5,"[3, 2, 0, 0, 0]"
IS1007c_1720_1730,2,2,"[1, 1, 0, 0, 0]"
IS1007c_1730_1740,2,8,"[4, 4, 0, 0, 0]"
IS1007c_1740_1750,2,8,"[4, 4, 0, 0, 0]"
IS1007c_1750_1760,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1760_1770,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1770_1780,2,2,"[1, 1, 0, 0, 0]"
IS1007c_1780_1790,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1790_1800,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1800_1810,3,7,"[4, 2, 1, 0, 0]"
IS1007c_1810_1820,2,2,"[1, 1, 0, 0, 0]"
IS1007c_1820_1830,2,7,"[4, 3, 0, 0, 0]"
IS1007c_1830_1840,2,2,"[1, 1, 0, 0, 0]"
IS1007c_1840_1850,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1850_1860,4,9,"[4, 2, 2, 1, 0]"
IS1007c_1860_1870,2,8,"[4, 4, 0, 0, 0]"
IS1007c_1870_1880,2,7,"[4, 3, 0, 0, 0]"
IS1007c_1880_1890,3,5,"[2, 2, 1, 0, 0]"
IS1007c_1890_1900,2,7,"[4, 3, 0, 0, 0]"
IS1007c_1900_1910,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1910_1920,1,1,"[1, 0, 0, 0, 0]"
IS1007c_1920_1930,2,3,"[2, 1, 0, 0, 0]"
IS1007c_1930_1940,2,5,"[3, 2, 0, 0, 0]"
IS1007c_1940_1950,2,2,"[1, 1, 0, 0, 0]"
IS1007c_1950_1960,3,8,"[4, 3, 1, 0, 0]"
IS1007c_1960_1970,2,8,"[4, 4, 0, 0, 0]"
IS1007c_1970_1980,2,5,"[3, 2, 0, 0, 0]"
IS1007c_1980_1990,2,4,"[2, 2, 0, 0, 0]"
IS1007c_1990_2000,2,2,"[1, 1, 0, 0, 0]"
IS1007c_2000_2010,1,1,"[1, 0, 0, 0, 0]"
IS1007c_2010_2020,1,1,"[1, 0, 0, 0, 0]"
IS1007c_2020_2030,2,2,"[1, 1, 0, 0, 0]"
IS1007c_2030_2040,2,2,"[1, 1, 0, 0, 0]"
IS1007c_2040_2050,2,2,"[1, 1, 0, 0, 0]"
IS1007c_2050_2060,4,5,"[2, 2, 1, 0, 0]"
IS1007c_2060_2070,3,8,"[3, 3, 2, 0, 0]"
IS1007d_0040_0050,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0050_0060,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0060_0070,2,3,"[2, 1, 0, 0, 0]"
IS1007d_0070_0080,2,7,"[4, 3, 0, 0, 0]"
IS1007d_0080_0090,2,2,"[1, 1, 0, 0, 0]"
IS1007d_0090_0100,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0100_0110,2,2,"[1, 1, 0, 0, 0]"
IS1007d_0110_0120,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0120_0130,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0130_0140,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0140_0150,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0150_0160,2,2,"[1, 1, 0, 0, 0]"
IS1007d_0160_0170,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0170_0180,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0180_0190,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0190_0200,2,5,"[3, 2, 0, 0, 0]"
IS1007d_0200_0210,3,7,"[3, 2, 2, 0, 0]"
IS1007d_0210_0220,4,8,"[3, 3, 1, 1, 0]"
IS1007d_0220_0230,2,2,"[1, 1, 0, 0, 0]"
IS1007d_0230_0240,2,3,"[2, 1, 0, 0, 0]"
IS1007d_0240_0250,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0250_0260,3,4,"[2, 1, 1, 0, 0]"
IS1007d_0260_0270,2,11,"[6, 5, 0, 0, 0]"
IS1007d_0270_0280,2,3,"[2, 1, 0, 0, 0]"
IS1007d_0280_0290,2,5,"[3, 2, 0, 0, 0]"
IS1007d_0290_0300,2,10,"[5, 5, 0, 0, 0]"
IS1007d_0300_0310,4,6,"[2, 2, 1, 1, 0]"
IS1007d_0310_0320,4,9,"[4, 3, 1, 1, 0]"
IS1007d_0320_0330,2,3,"[2, 1, 0, 0, 0]"
IS1007d_0330_0340,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0340_0350,2,4,"[2, 2, 0, 0, 0]"
IS1007d_0350_0360,2,7,"[4, 3, 0, 0, 0]"
IS1007d_0360_0370,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0370_0380,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0380_0390,2,2,"[1, 1, 0, 0, 0]"
IS1007d_0390_0400,3,3,"[1, 1, 1, 0, 0]"
IS1007d_0400_0410,3,5,"[2, 2, 1, 0, 0]"
IS1007d_0410_0420,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0420_0430,2,3,"[2, 1, 0, 0, 0]"
IS1007d_0430_0440,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0440_0450,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0450_0460,2,2,"[1, 1, 0, 0, 0]"
IS1007d_0460_0470,3,15,"[7, 4, 4, 0, 0]"
IS1007d_0470_0480,3,6,"[3, 2, 1, 0, 0]"
IS1007d_0480_0490,4,9,"[4, 2, 2, 1, 0]"
IS1007d_0490_0500,2,3,"[2, 1, 0, 0, 0]"
IS1007d_0500_0510,2,3,"[2, 1, 0, 0, 0]"
IS1007d_0510_0520,2,6,"[3, 3, 0, 0, 0]"
IS1007d_0520_0530,3,10,"[5, 4, 1, 0, 0]"
IS1007d_0530_0540,3,10,"[4, 4, 2, 0, 0]"
IS1007d_0540_0550,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0550_0560,2,2,"[1, 1, 0, 0, 0]"
IS1007d_0560_0570,3,7,"[3, 3, 1, 0, 0]"
IS1007d_0570_0580,2,3,"[2, 1, 0, 0, 0]"
IS1007d_0580_0590,4,8,"[3, 3, 1, 1, 0]"
IS1007d_0590_0600,3,12,"[5, 4, 3, 0, 0]"
IS1007d_0600_0610,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0610_0620,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0620_0630,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0630_0640,2,2,"[1, 1, 0, 0, 0]"
IS1007d_0640_0650,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0650_0660,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0660_0670,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0670_0680,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0680_0690,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0690_0700,2,6,"[3, 3, 0, 0, 0]"
IS1007d_0700_0710,2,1,"[1, 0, 0, 0, 0]"
IS1007d_0710_0720,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0720_0730,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0730_0740,2,3,"[2, 1, 0, 0, 0]"
IS1007d_0740_0750,1,1,"[1, 0, 0, 0, 0]"
IS1007d_0750_0760,1,1,"[1, 0, 0, 0, 0]"
